nome_entidade;cnpj_entidade;sigla
UNIVERSIDADE ESTADUAL DE FEIRA DE SANTANA;14.045.546/0001-73;UEFS
UNIVERSIDADE ESTADUAL DE GOIÁS;01.112.580/0001-71;UEG
UNIVERSIDADE ESTADUAL DE LONDRINA;78.640.489/0001-53;UEL
UNIVERSIDADE ESTADUAL DE MARINGÁ;79.151.312/0001-56;UEM
UNIVERSIDADE ESTADUAL DE MONTES CLAROS;22.675.359/0001-00;UNIMONTES
UNIVERSIDADE ESTADUAL DE PONTA GROSSA;80.257.355/0001-08;UEPG
UNIVERSIDADE ESTADUAL DE RORAIMA;08.240.695/0001-90;UERR
UNIVERSIDADE ESTADUAL DE SANTA CRUZ;40.738.999/0001-95;UESC
UNIVERSIDADE ESTADUAL DO CEARÁ;07.885.809/0001-97;UECE
UNIVERSIDADE ESTADUAL DO CENTRO-OESTE;77.902.914/0001-72;UNICENTRO
UNIVERSIDADE ESTADUAL DO MARANHÃO;06.352.421/0001-68;UEMA
UNIVERSIDADE ESTADUAL DO MATO GROSSO DO SUL;86.891.363/0001-80;UEMS
UNIVERSIDADE ESTADUAL DO NORTE DO PARANÁ;08.885.100/0001-54;UENP
UNIVERSIDADE ESTADUAL DO NORTE FLUMINENSE;04.809.688/0001-06;UENF
UNIVERSIDADE ESTADUAL DO OESTE DO  PARANÁ;78.680.337/0001-84;UNIOESTE
UNIVERSIDADE ESTADUAL DO PARANÁ;05.012.896/0001-42;UNESPAR
UNIVERSIDADE ESTADUAL DO PIAUÍ;07.471.758/0001-57;UESPI
UNIVERSIDADE ESTADUAL DO RIO GRANDE DO SUL;04.732.975/0001-65;UERS
UNIVERSIDADE ESTADUAL DO SUDOESTE DA BAHIA;13.069.489/0001-08;UESB
UNIVERSIDADE ESTADUAL DO VALE DO ACARAÚ;07.821.622/0001-20;UVA
UNIVERSIDADE ESTADUAL PAULISTA;48.031.918/0001-24;UNESP
UNIVERSIDADE FEDERAL DA BAHIA;15.180.714/0001-04;UFBA
UNIVERSIDADE FEDERAL DA FRONTEIRA SUL;11.234.780/0001- 50;UFFS
UNIVERSIDADE FEDERAL DA GRANDE DOURADOS;07.775.847/0001-97;UFGD
UNIVERSIDADE FEDERAL DA PARAÍBA;24.098.477/0001-10;UFPB
UNIVERSIDADE FEDERAL DE ALAGOAS;24.464.109/0001-48;UFAL
UNIVERSIDADE FEDERAL DE ALFENAS;17.879.859/0001-15;UNIFAL
UNIVERSIDADE FEDERAL DE CAMPINA GRANDE;05.055.128/0001-76;UFCG
UNIVERSIDADE FEDERAL DE GOIÁS;01.567.601/0001-43;UFG
UNIVERSIDADE FEDERAL DE ITAJUBÁ;21.040.001/0001-30;UNIFEI
UNIVERSIDADE FEDERAL DE JUIZ DE FORA;21.195.755/0001-69;UFJF
UNIVERSIDADE FEDERAL DE LAVRAS;22.078.679/0001-74;UFLA
UNIVERSIDADE FEDERAL DE MATO GROSSO;33.004.540/0001-00;UFMT
UNIVERSIDADE FEDERAL DE MATO GROSSO DO SUL;15.461.510/0001-33;UFMS
UNIVERSIDADE FEDERAL DE MINAS GERAIS;17.217.985/0001-04;UFMG
UNIVERSIDADE FEDERAL DE OURO PRETO;23.070.659/0001-10;UFOP
UNIVERSIDADE FEDERAL DE PELOTAS;92.242.080/0001-00;UFPEL
UNIVERSIDADE FEDERAL DE PERNAMBUCO;24.134.488/0001-08;UFPE
UNIVERSIDADE FEDERAL DE RONDÔNIA;04.418.943/0001-90;UNIR
